,GP_PnR_handler,POSS_PnR_handler,FREQ%_PnR_handler,PPP_PnR_handler,PTS_PnR_handler,FGM_PnR_handler,FGA_PnR_handler,FG%_PnR_handler,EFG%_PnR_handler,FT_PnR_handler,TOV_PnR_handler,SF_PnR_handler,AND ONE_PnR_handler,SCORE_PnR_handler,PERCENTILE_PnR_handler,LABEL,PLAYER,Constant
162,21.0,0.6,4.6,0.92,0.5,0.2,0.4,55.6,61.1,0,25,0,0,41.7,60.1,2,Ausar Thompson,
163,3.0,6.0,28.6,0.61,3.7,1.3,4.7,28.6,32.1,5.6,16.7,5.6,0,27.8,15.0,0,Bradley Beal,
164,19.0,1.2,17.2,0.48,0.6,0.2,0.9,23.5,26.5,4.3,21.7,4.3,0,21.7,4.3,0,Payton Pritchard,
165,20.0,0.5,4.5,1.0,0.5,0.2,0.5,44.4,55.6,0,10,0,0,40,76.2,2,Saddiq Bey,
166,20.0,0.6,2.9,0.83,0.5,0.3,0.6,41.7,41.7,0,0,0,0,41.7,44.4,0,Karl-Anthony Towns,
167,19.0,0.7,13.1,0.77,0.5,0.2,0.4,37.5,37.5,23.1,23.1,23.1,7.7,38.5,31.6,0,Anthony Black,
168,18.0,1.4,15.1,0.4,0.6,0.2,0.9,25.0,25.0,4,32,0,0,20,2.1,0,Ziaire Williams,
169,19.0,0.6,12.1,0.75,0.5,0.2,0.6,36.4,40.9,8.3,8.3,8.3,8.3,33.3,28.3,0,Julian Strawther,
170,15.0,0.9,25.0,0.69,0.6,0.3,0.5,50.0,56.3,0,38.5,0,0,30.8,19.3,0,Jacob Gilyard,
171,20.0,0.6,6.2,0.73,0.4,0.2,0.5,44.4,44.4,0,18.2,0,0,36.4,25.1,0,David Roddy,
172,21.0,0.5,4.3,0.73,0.4,0.1,0.3,42.9,42.9,9.1,27.3,9.1,0,36.4,25.1,0,Jordan Hawkins,
173,21.0,0.6,3.7,0.67,0.4,0.1,0.4,37.5,37.5,8.3,25,0,0,33.3,17.6,0,Evan Mobley,
174,14.0,1.1,20.8,0.53,0.6,0.2,0.6,37.5,37.5,13.3,33.3,6.7,0,33.3,5.9,0,Kris Dunn,
175,19.0,0.8,3.7,0.53,0.4,0.2,0.6,25.0,33.3,0,20,0,0,20,5.9,0,Victor Wembanyama,
176,17.0,1.5,10.2,0.32,0.5,0.2,1.1,15.8,21.1,0,24,0,0,12,0.5,0,OG Anunoby,
177,14.0,0.7,5.2,0.7,0.5,0.2,0.6,33.3,33.3,10,10,10,10,30,20.9,0,Santi Aldama,
178,17.0,0.6,4.9,0.7,0.4,0.2,0.4,50.0,58.3,0,40,0,0,30,20.9,0,Kevin Huerter,
179,22.0,0.6,3.8,0.54,0.3,0.1,0.4,33.3,38.9,0,30.8,0,0,23.1,6.9,0,Michael Porter Jr.,
180,18.0,0.9,7.0,0.44,0.4,0.2,0.8,21.4,25.0,0,12.5,0,0,18.8,3.7,0,Buddy Hield,
181,13.0,1.3,19.5,0.41,0.5,0.2,1.0,23.1,26.9,0,23.5,0,0,17.6,2.7,0,Theo Maledon,
182,20.0,0.9,7.3,0.41,0.4,0.1,0.6,16.7,16.7,17.6,11.8,17.6,0,29.4,2.7,0,Jonathan Kuminga,
